time(UTC);RH
2025-01-01 10:30:00;87,475
2025-01-01 10:40:00;86,95
2025-01-01 10:50:00;86,42500000000001
2025-01-01 11:00:00;85,9
2025-01-01 11:10:00;85,39166666666667
2025-01-01 11:20:00;84,88333333333334
2025-01-01 11:30:00;84,375
2025-01-01 11:40:00;83,86666666666666
2025-01-01 11:50:00;83,35833333333333
2025-01-01 12:00:00;82,85
2025-01-01 12:10:00;82,85833333333333
2025-01-01 12:20:00;82,86666666666666
2025-01-01 12:30:00;82,875
2025-01-01 12:40:00;82,88333333333334
2025-01-01 12:50:00;82,89166666666667
2025-01-01 13:00:00;82,9
2025-01-01 13:10:00;82,9
2025-01-01 13:20:00;82,9
2025-01-01 13:30:00;82,9
2025-01-01 13:40:00;82,9
2025-01-01 13:50:00;82,9
2025-01-01 14:00:00;82,9
2025-01-01 14:10:00;83,40833333333333
2025-01-01 14:20:00;83,91666666666667
2025-01-01 14:30:00;84,42500000000001
2025-01-01 14:40:00;84,93333333333334
2025-01-01 14:50:00;85,44166666666666
2025-01-01 15:00:00;85,95
2025-01-01 15:10:00;85,95
2025-01-01 15:20:00;85,95
2025-01-01 15:30:00;85,95
2025-01-01 15:40:00;85,95
2025-01-01 15:50:00;85,95
2025-01-01 16:00:00;85,95
2025-01-01 16:10:00;86,475
2025-01-01 16:20:00;87,0
2025-01-01 16:30:00;87,525
2025-01-01 16:40:00;88,05
2025-01-01 16:50:00;88,57499999999999
2025-01-01 17:00:00;89,1
2025-01-01 17:10:00;89,1
2025-01-01 17:20:00;89,1
2025-01-01 17:30:00;89,1
2025-01-01 17:40:00;89,1
2025-01-01 17:50:00;89,1
2025-01-01 18:00:00;89,1
2025-01-01 18:10:00;89,1
2025-01-01 18:20:00;89,1
2025-01-01 18:30:00;89,1
2025-01-01 18:40:00;89,1
2025-01-01 18:50:00;89,1
2025-01-01 19:00:00;89,1
2025-01-01 19:10:00;89,1
2025-01-01 19:20:00;89,1
2025-01-01 19:30:00;89,1
2025-01-01 19:40:00;89,1
2025-01-01 19:50:00;89,1
2025-01-01 20:00:00;89,1
2025-01-01 20:10:00;89,1
2025-01-01 20:20:00;89,1
2025-01-01 20:30:00;89,1
2025-01-01 20:40:00;89,1
2025-01-01 20:50:00;89,1
2025-01-01 21:00:00;89,1
2025-01-01 21:10:00;89,1
2025-01-01 21:20:00;89,1
2025-01-01 21:30:00;89,1
2025-01-01 21:40:00;89,1
2025-01-01 21:50:00;89,1
2025-01-01 22:00:00;89,1
2025-01-01 22:10:00;89,1
2025-01-01 22:20:00;89,1
2025-01-01 22:30:00;89,1
2025-01-01 22:40:00;89,1
2025-01-01 22:50:00;89,1
2025-01-01 23:00:00;89,1
2025-01-01 23:10:00;89,1
2025-01-01 23:20:00;89,1
2025-01-01 23:30:00;89,1
2025-01-01 23:40:00;89,1
2025-01-01 23:50:00;89,1
2025-01-02 00:00:00;89,1
2025-01-02 00:10:00;89,65833333333333
2025-01-02 00:20:00;90,21666666666667
2025-01-02 00:30:00;90,775
2025-01-02 00:40:00;91,33333333333333
2025-01-02 00:50:00;91,89166666666667
2025-01-02 01:00:00;92,45
2025-01-02 01:10:00;92,45
2025-01-02 01:20:00;92,45
2025-01-02 01:30:00;92,45
2025-01-02 01:40:00;92,45
2025-01-02 01:50:00;92,45
2025-01-02 02:00:00;92,45
2025-01-02 02:10:00;92,45
2025-01-02 02:20:00;92,45
2025-01-02 02:30:00;92,45
2025-01-02 02:40:00;92,45
2025-01-02 02:50:00;92,45
2025-01-02 03:00:00;92,45
2025-01-02 03:10:00;92,45
2025-01-02 03:20:00;92,45
2025-01-02 03:30:00;92,45
2025-01-02 03:40:00;92,45
2025-01-02 03:50:00;92,45
2025-01-02 04:00:00;92,45
2025-01-02 04:10:00;93,01666666666667
2025-01-02 04:20:00;93,58333333333333
2025-01-02 04:30:00;94,15
2025-01-02 04:40:00;94,71666666666667
2025-01-02 04:50:00;95,28333333333333
2025-01-02 05:00:00;95,85
2025-01-02 05:10:00;95,85
2025-01-02 05:20:00;95,85
2025-01-02 05:30:00;95,85
2025-01-02 05:40:00;95,85
2025-01-02 05:50:00;95,85
2025-01-02 06:00:00;95,85
2025-01-02 06:10:00;95,85
2025-01-02 06:20:00;95,85
2025-01-02 06:30:00;95,85
2025-01-02 06:40:00;95,85
2025-01-02 06:50:00;95,85
2025-01-02 07:00:00;95,85
2025-01-02 07:10:00;95,85
2025-01-02 07:20:00;95,85
2025-01-02 07:30:00;95,85
2025-01-02 07:40:00;95,85
2025-01-02 07:50:00;95,85
2025-01-02 08:00:00;95,85
2025-01-02 08:10:00;95,28333333333333
2025-01-02 08:20:00;94,71666666666667
2025-01-02 08:30:00;94,15
2025-01-02 08:40:00;93,58333333333333
2025-01-02 08:50:00;93,01666666666667
2025-01-02 09:00:00;92,45
2025-01-02 09:10:00;93,01666666666667
2025-01-02 09:20:00;93,58333333333333
2025-01-02 09:30:00;94,15
2025-01-02 09:40:00;94,71666666666667
2025-01-02 09:50:00;95,28333333333333
2025-01-02 10:00:00;95,85
2025-01-02 10:10:00;95,85
2025-01-02 10:20:00;95,85
2025-01-02 10:30:00;95,85
2025-01-02 10:40:00;95,85
2025-01-02 10:50:00;95,85
2025-01-02 11:00:00;95,85
2025-01-02 11:10:00;96,44166666666666
2025-01-02 11:20:00;97,03333333333333
2025-01-02 11:30:00;97,625
2025-01-02 11:40:00;98,21666666666667
2025-01-02 11:50:00;98,80833333333334
2025-01-02 12:00:00;99,4
2025-01-02 12:10:00;99,4
2025-01-02 12:20:00;99,4
2025-01-02 12:30:00;99,4
2025-01-02 12:40:00;99,4
2025-01-02 12:50:00;99,4
2025-01-02 13:00:00;99,4
2025-01-02 13:10:00;99,4
2025-01-02 13:20:00;99,4
2025-01-02 13:30:00;99,4
2025-01-02 13:40:00;99,4
2025-01-02 13:50:00;99,4
2025-01-02 14:00:00;99,4
2025-01-02 14:10:00;99,4
2025-01-02 14:20:00;99,4
2025-01-02 14:30:00;99,4
2025-01-02 14:40:00;99,4
2025-01-02 14:50:00;99,4
2025-01-02 15:00:00;99,4
2025-01-02 15:10:00;99,4
2025-01-02 15:20:00;99,4
2025-01-02 15:30:00;99,4
2025-01-02 15:40:00;99,4
2025-01-02 15:50:00;99,4
2025-01-02 16:00:00;99,4
2025-01-02 16:10:00;99,4
2025-01-02 16:20:00;99,4
2025-01-02 16:30:00;99,4
2025-01-02 16:40:00;99,4
2025-01-02 16:50:00;99,4
2025-01-02 17:00:00;99,4
2025-01-02 17:10:00;99,4
2025-01-02 17:20:00;99,4
2025-01-02 17:30:00;99,4
2025-01-02 17:40:00;99,4
2025-01-02 17:50:00;99,4
2025-01-02 18:00:00;99,4
2025-01-02 18:10:00;99,4
2025-01-02 18:20:00;99,4
2025-01-02 18:30:00;99,4
2025-01-02 18:40:00;99,4
2025-01-02 18:50:00;99,4
2025-01-02 19:00:00;99,4
2025-01-02 19:10:00;99,39166666666667
2025-01-02 19:20:00;99,38333333333334
2025-01-02 19:30:00;99,375
2025-01-02 19:40:00;99,36666666666666
2025-01-02 19:50:00;99,35833333333333
2025-01-02 20:00:00;99,35
2025-01-02 20:10:00;99,35
2025-01-02 20:20:00;99,35
2025-01-02 20:30:00;99,35
2025-01-02 20:40:00;99,35
2025-01-02 20:50:00;99,35
2025-01-02 21:00:00;99,35
2025-01-02 21:10:00;99,35
2025-01-02 21:20:00;99,35
2025-01-02 21:30:00;99,35
2025-01-02 21:40:00;99,35
2025-01-02 21:50:00;99,35
2025-01-02 22:00:00;99,35
2025-01-02 22:10:00;99,35
2025-01-02 22:20:00;99,35
2025-01-02 22:30:00;99,35
2025-01-02 22:40:00;99,35
2025-01-02 22:50:00;99,35
2025-01-02 23:00:00;99,35
2025-01-02 23:10:00;99,35
2025-01-02 23:20:00;99,35
2025-01-02 23:30:00;99,35
2025-01-02 23:40:00;99,35
2025-01-02 23:50:00;99,35
2025-01-03 00:00:00;99,35
2025-01-03 00:10:00;99,35
2025-01-03 00:20:00;99,35
2025-01-03 00:30:00;99,35
2025-01-03 00:40:00;99,35
2025-01-03 00:50:00;99,35
2025-01-03 01:00:00;99,35
2025-01-03 01:10:00;98,77499999999999
2025-01-03 01:20:00;98,2
2025-01-03 01:30:00;97,625
2025-01-03 01:40:00;97,05
2025-01-03 01:50:00;96,47500000000001
2025-01-03 02:00:00;95,9
2025-01-03 02:10:00;96,48333333333333
2025-01-03 02:20:00;97,06666666666668
2025-01-03 02:30:00;97,65
2025-01-03 02:40:00;98,23333333333333
2025-01-03 02:50:00;98,81666666666668
2025-01-03 03:00:00;99,4
2025-01-03 03:10:00;98,81666666666668
2025-01-03 03:20:00;98,23333333333333
2025-01-03 03:30:00;97,65
2025-01-03 03:40:00;97,06666666666668
2025-01-03 03:50:00;96,48333333333333
2025-01-03 04:00:00;95,9
2025-01-03 04:10:00;95,9
2025-01-03 04:20:00;95,9
2025-01-03 04:30:00;95,9
2025-01-03 04:40:00;95,9
2025-01-03 04:50:00;95,9
2025-01-03 05:00:00;95,9
2025-01-03 05:10:00;96,48333333333333
2025-01-03 05:20:00;97,06666666666668
2025-01-03 05:30:00;97,65
2025-01-03 05:40:00;98,23333333333333
2025-01-03 05:50:00;98,81666666666668
2025-01-03 06:00:00;99,4
2025-01-03 06:10:00;98,80833333333334
2025-01-03 06:20:00;98,21666666666667
2025-01-03 06:30:00;97,625
2025-01-03 06:40:00;97,03333333333333
2025-01-03 06:50:00;96,44166666666666
2025-01-03 07:00:00;95,85
2025-01-03 07:10:00;95,28333333333333
2025-01-03 07:20:00;94,71666666666667
2025-01-03 07:30:00;94,15
2025-01-03 07:40:00;93,58333333333333
2025-01-03 07:50:00;93,01666666666667
2025-01-03 08:00:00;92,45
2025-01-03 08:10:00;93,01666666666667
2025-01-03 08:20:00;93,58333333333333
2025-01-03 08:30:00;94,15
2025-01-03 08:40:00;94,71666666666667
2025-01-03 08:50:00;95,28333333333333
2025-01-03 09:00:00;95,85
2025-01-03 09:10:00;95,29166666666666
2025-01-03 09:20:00;94,73333333333333
2025-01-03 09:30:00;94,175
2025-01-03 09:40:00;93,61666666666666
2025-01-03 09:50:00;93,05833333333334
2025-01-03 10:00:00;92,5
2025-01-03 10:10:00;92,5
2025-01-03 10:20:00;92,5
2025-01-03 10:30:00;92,5
2025-01-03 10:40:00;92,5
2025-01-03 10:50:00;92,5
2025-01-03 11:00:00;92,5
2025-01-03 11:10:00;92,5
2025-01-03 11:20:00;92,5
2025-01-03 11:30:00;92,5
2025-01-03 11:40:00;92,5
2025-01-03 11:50:00;92,5
2025-01-03 12:00:00;92,5
2025-01-03 12:10:00;92,5
2025-01-03 12:20:00;92,5
2025-01-03 12:30:00;92,5
2025-01-03 12:40:00;92,5
2025-01-03 12:50:00;92,5
2025-01-03 13:00:00;92,5
2025-01-03 13:10:00;92,5
2025-01-03 13:20:00;92,5
2025-01-03 13:30:00;92,5
2025-01-03 13:40:00;92,5
2025-01-03 13:50:00;92,5
2025-01-03 14:00:00;92,5
2025-01-03 14:10:00;93,06666666666666
2025-01-03 14:20:00;93,63333333333334
2025-01-03 14:30:00;94,2
2025-01-03 14:40:00;94,76666666666667
2025-01-03 14:50:00;95,33333333333334
2025-01-03 15:00:00;95,9
2025-01-03 15:10:00;96,48333333333333
2025-01-03 15:20:00;97,06666666666668
2025-01-03 15:30:00;97,65
2025-01-03 15:40:00;98,23333333333333
2025-01-03 15:50:00;98,81666666666668
2025-01-03 16:00:00;99,4
2025-01-03 16:10:00;99,4
2025-01-03 16:20:00;99,4
2025-01-03 16:30:00;99,4
2025-01-03 16:40:00;99,4
2025-01-03 16:50:00;99,4
2025-01-03 17:00:00;99,4
2025-01-03 17:10:00;99,4
2025-01-03 17:20:00;99,4
2025-01-03 17:30:00;99,4
2025-01-03 17:40:00;99,4
2025-01-03 17:50:00;99,4
2025-01-03 18:00:00;99,4
2025-01-03 18:10:00;99,5
2025-01-03 18:20:00;99,60000000000001
2025-01-03 18:30:00;99,7
2025-01-03 18:40:00;99,8
2025-01-03 18:50:00;99,9
2025-01-03 19:00:00;100,0
2025-01-03 19:10:00;99,9
2025-01-03 19:20:00;99,8
2025-01-03 19:30:00;99,7
2025-01-03 19:40:00;99,60000000000001
2025-01-03 19:50:00;99,5
2025-01-03 20:00:00;99,4
2025-01-03 20:10:00;99,4
2025-01-03 20:20:00;99,4
2025-01-03 20:30:00;99,4
2025-01-03 20:40:00;99,4
2025-01-03 20:50:00;99,4
2025-01-03 21:00:00;99,4
2025-01-03 21:10:00;99,4
2025-01-03 21:20:00;99,4
2025-01-03 21:30:00;99,4
2025-01-03 21:40:00;99,4
2025-01-03 21:50:00;99,4
2025-01-03 22:00:00;99,4
2025-01-03 22:10:00;99,4
2025-01-03 22:20:00;99,4
2025-01-03 22:30:00;99,4
2025-01-03 22:40:00;99,4
2025-01-03 22:50:00;99,4
2025-01-03 23:00:00;99,4
2025-01-03 23:10:00;99,4
2025-01-03 23:20:00;99,4
2025-01-03 23:30:00;99,4
2025-01-03 23:40:00;99,4
2025-01-03 23:50:00;99,4
2025-01-04 00:00:00;99,4
2025-01-04 00:10:00;99,4
2025-01-04 00:20:00;99,4
2025-01-04 00:30:00;99,4
2025-01-04 00:40:00;99,4
2025-01-04 00:50:00;99,4
2025-01-04 01:00:00;99,4
2025-01-04 01:10:00;99,5
2025-01-04 01:20:00;99,60000000000001
2025-01-04 01:30:00;99,7
2025-01-04 01:40:00;99,8
2025-01-04 01:50:00;99,9
2025-01-04 02:00:00;100,0
2025-01-04 02:10:00;99,9
2025-01-04 02:20:00;99,8
2025-01-04 02:30:00;99,7
2025-01-04 02:40:00;99,60000000000001
2025-01-04 02:50:00;99,5
2025-01-04 03:00:00;99,4
2025-01-04 03:10:00;98,24166666666667
2025-01-04 03:20:00;97,08333333333334
2025-01-04 03:30:00;95,92500000000001
2025-01-04 03:40:00;94,76666666666667
2025-01-04 03:50:00;93,60833333333333
2025-01-04 04:00:00;92,45
2025-01-04 04:10:00;91,89166666666667
2025-01-04 04:20:00;91,33333333333333
2025-01-04 04:30:00;90,775
2025-01-04 04:40:00;90,21666666666667
2025-01-04 04:50:00;89,65833333333333
2025-01-04 05:00:00;89,1
2025-01-04 05:10:00;89,64999999999999
2025-01-04 05:20:00;90,2
2025-01-04 05:30:00;90,75
2025-01-04 05:40:00;91,3
2025-01-04 05:50:00;91,85000000000001
2025-01-04 06:00:00;92,4
2025-01-04 06:10:00;91,85000000000001
2025-01-04 06:20:00;91,3
2025-01-04 06:30:00;90,75
2025-01-04 06:40:00;90,2
2025-01-04 06:50:00;89,64999999999999
2025-01-04 07:00:00;89,1
2025-01-04 07:10:00;89,1
2025-01-04 07:20:00;89,1
2025-01-04 07:30:00;89,1
2025-01-04 07:40:00;89,1
2025-01-04 07:50:00;89,1
2025-01-04 08:00:00;89,1
2025-01-04 08:10:00;88,57499999999999
2025-01-04 08:20:00;88,05
2025-01-04 08:30:00;87,525
2025-01-04 08:40:00;87,0
2025-01-04 08:50:00;86,475
2025-01-04 09:00:00;85,95
2025-01-04 09:10:00;85,44166666666666
2025-01-04 09:20:00;84,93333333333334
2025-01-04 09:30:00;84,42500000000001
2025-01-04 09:40:00;83,91666666666667
2025-01-04 09:50:00;83,40833333333333
2025-01-04 10:00:00;82,9
2025-01-04 10:10:00;83,40833333333333
2025-01-04 10:20:00;83,91666666666667
2025-01-04 10:30:00;84,42500000000001
2025-01-04 10:40:00;84,93333333333334
2025-01-04 10:50:00;85,44166666666666
2025-01-04 11:00:00;85,95
2025-01-04 11:10:00;85,44166666666666
2025-01-04 11:20:00;84,93333333333334
2025-01-04 11:30:00;84,42500000000001
2025-01-04 11:40:00;83,91666666666667
2025-01-04 11:50:00;83,40833333333333
2025-01-04 12:00:00;82,9
2025-01-04 12:10:00;83,40833333333333
2025-01-04 12:20:00;83,91666666666667
2025-01-04 12:30:00;84,42500000000001
2025-01-04 12:40:00;84,93333333333334
2025-01-04 12:50:00;85,44166666666666
2025-01-04 13:00:00;85,95
2025-01-04 13:10:00;85,41666666666667
2025-01-04 13:20:00;84,88333333333334
2025-01-04 13:30:00;84,35
2025-01-04 13:40:00;83,81666666666666
2025-01-04 13:50:00;83,28333333333333
2025-01-04 14:00:00;82,75
2025-01-04 14:10:00;82,74166666666667
2025-01-04 14:20:00;82,73333333333333
2025-01-04 14:30:00;82,725
2025-01-04 14:40:00;82,71666666666667
2025-01-04 14:50:00;82,70833333333334
2025-01-04 15:00:00;82,7
2025-01-04 15:10:00;82,65
2025-01-04 15:20:00;82,60000000000001
2025-01-04 15:30:00;82,55000000000001
2025-01-04 15:40:00;82,5
2025-01-04 15:50:00;82,45
2025-01-04 16:00:00;82,4
2025-01-04 16:10:00;80,01666666666667
2025-01-04 16:20:00;77,63333333333334
2025-01-04 16:30:00;75,25
2025-01-04 16:40:00;72,86666666666666
2025-01-04 16:50:00;70,48333333333333
2025-01-04 17:00:00;68,1
2025-01-04 17:10:00;67,24166666666666
2025-01-04 17:20:00;66,38333333333333
2025-01-04 17:30:00;65,525
2025-01-04 17:40:00;64,66666666666667
2025-01-04 17:50:00;63,80833333333334
2025-01-04 18:00:00;62,95
2025-01-04 18:10:00;62,15833333333334
2025-01-04 18:20:00;61,36666666666667
2025-01-04 18:30:00;60,575
2025-01-04 18:40:00;59,78333333333334
2025-01-04 18:50:00;58,99166666666667
2025-01-04 19:00:00;58,2
2025-01-04 19:10:00;58,2
2025-01-04 19:20:00;58,2
2025-01-04 19:30:00;58,2
2025-01-04 19:40:00;58,2
2025-01-04 19:50:00;58,2
2025-01-04 20:00:00;58,2
2025-01-04 20:10:00;58,56666666666667
2025-01-04 20:20:00;58,93333333333334
2025-01-04 20:30:00;59,3
2025-01-04 20:40:00;59,666666666666664
2025-01-04 20:50:00;60,03333333333333
2025-01-04 21:00:00;60,4
2025-01-04 21:10:00;61,2
2025-01-04 21:20:00;62,0
2025-01-04 21:30:00;62,8
2025-01-04 21:40:00;63,6
2025-01-04 21:50:00;64,4
2025-01-04 22:00:00;65,2
2025-01-04 22:10:00;66,06666666666666
2025-01-04 22:20:00;66,93333333333334
2025-01-04 22:30:00;67,80000000000001
2025-01-04 22:40:00;68,66666666666667
2025-01-04 22:50:00;69,53333333333333
2025-01-04 23:00:00;70,4
2025-01-04 23:10:00;70,86666666666667
2025-01-04 23:20:00;71,33333333333334
2025-01-04 23:30:00;71,80000000000001
2025-01-04 23:40:00;72,26666666666667
2025-01-04 23:50:00;72,73333333333333
2025-01-05 00:00:00;73,2
2025-01-05 00:10:00;73,66666666666667
2025-01-05 00:20:00;74,13333333333334
2025-01-05 00:30:00;74,6
2025-01-05 00:40:00;75,06666666666666
2025-01-05 00:50:00;75,53333333333333
2025-01-05 01:00:00;76,0
2025-01-05 01:10:00;77,00833333333333
2025-01-05 01:20:00;78,01666666666667
2025-01-05 01:30:00;79,025
2025-01-05 01:40:00;80,03333333333333
2025-01-05 01:50:00;81,04166666666666
2025-01-05 02:00:00;82,05
2025-01-05 02:10:00;82,06666666666666
2025-01-05 02:20:00;82,08333333333333
2025-01-05 02:30:00;82,1
2025-01-05 02:40:00;82,11666666666667
2025-01-05 02:50:00;82,13333333333334
2025-01-05 03:00:00;82,15
2025-01-05 03:10:00;82,15833333333333
2025-01-05 03:20:00;82,16666666666667
2025-01-05 03:30:00;82,17500000000001
2025-01-05 03:40:00;82,18333333333334
2025-01-05 03:50:00;82,19166666666666
2025-01-05 04:00:00;82,2
2025-01-05 04:10:00;82,2
2025-01-05 04:20:00;82,2
2025-01-05 04:30:00;82,2
2025-01-05 04:40:00;82,2
2025-01-05 04:50:00;82,2
2025-01-05 05:00:00;82,2
2025-01-05 05:10:00;82,725
2025-01-05 05:20:00;83,25
2025-01-05 05:30:00;83,775
2025-01-05 05:40:00;84,3
2025-01-05 05:50:00;84,82499999999999
2025-01-05 06:00:00;85,35
2025-01-05 06:10:00;84,83333333333333
2025-01-05 06:20:00;84,31666666666666
2025-01-05 06:30:00;83,8
2025-01-05 06:40:00;83,28333333333333
2025-01-05 06:50:00;82,76666666666667
2025-01-05 07:00:00;82,25
2025-01-05 07:10:00;82,25
2025-01-05 07:20:00;82,25
2025-01-05 07:30:00;82,25
2025-01-05 07:40:00;82,25
2025-01-05 07:50:00;82,25
2025-01-05 08:00:00;82,25
2025-01-05 08:10:00;82,25833333333333
2025-01-05 08:20:00;82,26666666666667
2025-01-05 08:30:00;82,275
2025-01-05 08:40:00;82,28333333333333
2025-01-05 08:50:00;82,29166666666666
2025-01-05 09:00:00;82,3
2025-01-05 09:10:00;81,80833333333334
2025-01-05 09:20:00;81,31666666666666
2025-01-05 09:30:00;80,82499999999999
2025-01-05 09:40:00;80,33333333333333
2025-01-05 09:50:00;79,84166666666667
2025-01-05 10:00:00;79,35
2025-01-05 10:10:00;78,89999999999999
2025-01-05 10:20:00;78,45
2025-01-05 10:30:00;78,0
2025-01-05 10:40:00;77,55
2025-01-05 10:50:00;77,10000000000001
2025-01-05 11:00:00;76,65
2025-01-05 11:10:00;75,75
2025-01-05 11:20:00;74,85000000000001
2025-01-05 11:30:00;73,95
2025-01-05 11:40:00;73,05
2025-01-05 11:50:00;72,15
2025-01-05 12:00:00;71,25
2025-01-05 12:10:00;71,71666666666667
2025-01-05 12:20:00;72,18333333333334
2025-01-05 12:30:00;72,65
2025-01-05 12:40:00;73,11666666666666
2025-01-05 12:50:00;73,58333333333333
2025-01-05 13:00:00;74,05
2025-01-05 13:10:00;74,06666666666666
2025-01-05 13:20:00;74,08333333333333
2025-01-05 13:30:00;74,1
2025-01-05 13:40:00;74,11666666666667
2025-01-05 13:50:00;74,13333333333334
2025-01-05 14:00:00;74,15
2025-01-05 14:10:00;74,61666666666667
2025-01-05 14:20:00;75,08333333333334
2025-01-05 14:30:00;75,55000000000001
2025-01-05 14:40:00;76,01666666666667
2025-01-05 14:50:00;76,48333333333333
2025-01-05 15:00:00;76,95
2025-01-05 15:10:00;77,41666666666667
2025-01-05 15:20:00;77,88333333333334
2025-01-05 15:30:00;78,35
2025-01-05 15:40:00;78,81666666666666
2025-01-05 15:50:00;79,28333333333333
2025-01-05 16:00:00;79,75
2025-01-05 16:10:00;80,76666666666667
2025-01-05 16:20:00;81,78333333333333
2025-01-05 16:30:00;82,8
2025-01-05 16:40:00;83,81666666666666
2025-01-05 16:50:00;84,83333333333333
2025-01-05 17:00:00;85,85
2025-01-05 17:10:00;86,375
2025-01-05 17:20:00;86,89999999999999
2025-01-05 17:30:00;87,425
2025-01-05 17:40:00;87,95
2025-01-05 17:50:00;88,475
2025-01-05 18:00:00;89,0
2025-01-05 18:10:00;89,0
2025-01-05 18:20:00;89,0
2025-01-05 18:30:00;89,0
2025-01-05 18:40:00;89,0
2025-01-05 18:50:00;89,0
2025-01-05 19:00:00;89,0
2025-01-05 19:10:00;89,55833333333334
2025-01-05 19:20:00;90,11666666666666
2025-01-05 19:30:00;90,675
2025-01-05 19:40:00;91,23333333333333
2025-01-05 19:50:00;91,79166666666666
2025-01-05 20:00:00;92,35
2025-01-05 20:10:00;92,925
2025-01-05 20:20:00;93,5
2025-01-05 20:30:00;94,07499999999999
2025-01-05 20:40:00;94,64999999999999
2025-01-05 20:50:00;95,225
2025-01-05 21:00:00;95,8
2025-01-05 21:10:00;95,8
2025-01-05 21:20:00;95,8
2025-01-05 21:30:00;95,8
2025-01-05 21:40:00;95,8
2025-01-05 21:50:00;95,8
2025-01-05 22:00:00;95,8
2025-01-05 22:10:00;95,225
2025-01-05 22:20:00;94,64999999999999
2025-01-05 22:30:00;94,07499999999999
2025-01-05 22:40:00;93,5
2025-01-05 22:50:00;92,925
2025-01-05 23:00:00;92,35
2025-01-05 23:10:00;92,35
2025-01-05 23:20:00;92,35
2025-01-05 23:30:00;92,35
2025-01-05 23:40:00;92,35
2025-01-05 23:50:00;92,35
2025-01-06 00:00:00;92,35
2025-01-06 00:10:00;92,35
2025-01-06 00:20:00;92,35
2025-01-06 00:30:00;92,35
2025-01-06 00:40:00;92,35
2025-01-06 00:50:00;92,35
2025-01-06 01:00:00;92,35
2025-01-06 01:10:00;92,35
2025-01-06 01:20:00;92,35
2025-01-06 01:30:00;92,35
2025-01-06 01:40:00;92,35
2025-01-06 01:50:00;92,35
2025-01-06 02:00:00;92,35
2025-01-06 02:10:00;92,35
2025-01-06 02:20:00;92,35
2025-01-06 02:30:00;92,35
2025-01-06 02:40:00;92,35
2025-01-06 02:50:00;92,35
2025-01-06 03:00:00;92,35
2025-01-06 03:10:00;92,35
2025-01-06 03:20:00;92,35
2025-01-06 03:30:00;92,35
2025-01-06 03:40:00;92,35
2025-01-06 03:50:00;92,35
2025-01-06 04:00:00;92,35
2025-01-06 04:10:00;91,79166666666666
2025-01-06 04:20:00;91,23333333333333
2025-01-06 04:30:00;90,675
2025-01-06 04:40:00;90,11666666666666
2025-01-06 04:50:00;89,55833333333334
2025-01-06 05:00:00;89,0
2025-01-06 05:10:00;89,55833333333334
2025-01-06 05:20:00;90,11666666666666
2025-01-06 05:30:00;90,675
2025-01-06 05:40:00;91,23333333333333
2025-01-06 05:50:00;91,79166666666666
2025-01-06 06:00:00;92,35
2025-01-06 06:10:00;91,79166666666666
2025-01-06 06:20:00;91,23333333333333
2025-01-06 06:30:00;90,675
2025-01-06 06:40:00;90,11666666666666
2025-01-06 06:50:00;89,55833333333334
2025-01-06 07:00:00;89,0
2025-01-06 07:10:00;88,99166666666667
2025-01-06 07:20:00;88,98333333333333
